Sex,Single,Unemployed,Age,Credit,LoanDuration,PurposeOfLoan,InstallmentRate,Housing,Label,Prediction,BinaryPrediction
1.0,1,0,67,1169,6,3,4,1.0,1,0.99445826,1
0.0,0,0,22,5951,48,3,2,1.0,0,0.6894262,1
1.0,1,0,49,2096,12,2,2,1.0,1,0.9773329,1
1.0,1,0,45,7882,42,4,2,3.0,1,0.81468487,1
1.0,1,0,53,4870,24,6,3,3.0,0,0.50749856,1
1.0,1,0,35,9055,36,2,2,3.0,1,0.5054271,1
1.0,1,0,53,2835,24,4,3,1.0,1,0.75318533,1
1.0,1,0,35,6948,36,10,2,2.0,1,0.7588826,1
1.0,0,0,61,3059,12,3,2,1.0,1,0.9510717,1
1.0,0,1,28,5234,30,6,4,1.0,0,0.22684039,0
0.0,0,0,25,1295,12,6,3,2.0,0,0.3892897,0
0.0,0,0,24,4308,48,1,3,2.0,0,0.064784944,0
0.0,0,0,22,1567,12,3,1,1.0,1,0.7817381,1
1.0,1,0,60,1199,24,6,4,1.0,0,0.6680433,1
0.0,0,0,28,1403,15,6,2,2.0,1,0.5922254,1
0.0,0,0,32,1282,24,3,4,1.0,0,0.64585525,1
1.0,1,0,53,2424,24,3,4,1.0,1,0.8962202,1
1.0,1,0,25,8072,30,1,2,1.0,1,0.46440303,0
0.0,0,0,44,12579,24,10,4,3.0,0,0.023590736,0
1.0,1,0,31,3430,24,3,3,1.0,1,0.7954308,1
1.0,1,0,48,2134,9,6,4,1.0,1,0.7574767,1
1.0,1,0,44,2647,6,3,2,2.0,1,0.9708029,1
1.0,1,0,48,2241,10,6,1,2.0,1,0.98287296,1
1.0,1,0,44,1804,12,10,3,1.0,1,0.97212625,1
1.0,0,0,26,2069,10,4,2,1.0,1,0.73117304,1
1.0,1,0,36,1374,6,4,1,1.0,1,0.99367315,1
1.0,0,0,39,426,6,3,4,1.0,1,0.889282,1
0.0,0,0,42,409,12,3,3,2.0,1,0.9522095,1
1.0,1,0,34,2415,7,3,3,1.0,1,0.9513173,1
1.0,1,0,63,6836,60,1,3,1.0,0,0.0071104118,0
1.0,0,0,36,1913,18,1,3,1.0,1,0.71621054,1
1.0,1,0,27,4020,24,4,2,1.0,1,0.6680465,1
1.0,1,0,30,5866,18,6,2,1.0,1,0.71391714,1
1.0,1,0,57,1264,12,1,4,2.0,1,0.5813576,1
0.0,0,0,33,1474,12,4,4,1.0,1,0.7710897,1
1.0,1,0,25,4746,45,3,4,1.0,0,0.49658042,0
1.0,1,0,31,6110,48,2,1,3.0,1,0.8392713,1
1.0,1,0,37,2100,18,3,4,1.0,0,0.87842906,1
1.0,1,0,37,1225,10,5,2,1.0,1,0.9115867,1
1.0,1,0,24,458,9,3,4,1.0,1,0.8697248,1
1.0,1,0,30,2333,30,3,4,1.0,1,0.7747756,1
1.0,0,0,26,1158,12,3,3,1.0,1,0.78457993,1
1.0,1,0,44,6204,18,8,2,1.0,1,0.957787,1
1.0,0,0,24,6187,30,10,1,2.0,1,0.6697056,1
0.0,0,0,58,6143,48,10,4,3.0,0,0.5598829,1
0.0,0,0,35,1393,11,6,4,1.0,1,0.7170666,1
1.0,1,0,39,2299,36,3,4,1.0,1,0.79419947,1
0.0,0,1,23,1352,6,10,1,2.0,1,0.99089736,1
1.0,1,0,39,7228,11,6,1,1.0,1,0.78013957,1
0.0,0,0,28,2073,12,3,4,1.0,1,0.7245677,1
1.0,1,0,29,2333,24,4,4,1.0,1,0.764938,1
1.0,1,0,30,5965,27,10,1,1.0,1,0.98926497,1
